Author1,Author2,Weight
Bi,Meliopoulos,1
Marcos,Samson Shenglong,1
Marcos,Rouhani,1
Marcos,Meliopoulos,1
Samson Shenglong,Rouhani,1
Samson Shenglong,Meliopoulos,1
Rouhani,Meliopoulos,1
Werner,Kutluyil,1
Werner,Reza,1
Werner,Dogancay,1
Werner,Arablouei,1
Werner,Stefan,1
Kutluyil,Reza,1
Kutluyil,Dogancay,1
Kutluyil,Arablouei,1
Kutluyil,Stefan,1
Reza,Dogancay,1
Reza,Arablouei,1
Reza,Stefan,1
Dogancay,Arablouei,1
Dogancay,Stefan,1
Arablouei,Stefan,1
Hadieh Sadat,Hosseini,1
Hadieh Sadat,Amangaldi,1
Hadieh Sadat,Masoud,1
Hadieh Sadat,Radmehr,1
Hadieh Sadat,Koochaki,1
Hosseini,Amangaldi,1
Hosseini,Masoud,1
Hosseini,Radmehr,1
Hosseini,Koochaki,1
Amangaldi,Masoud,1
Amangaldi,Radmehr,1
Amangaldi,Koochaki,1
Masoud,Radmehr,1
Masoud,Koochaki,1
Radmehr,Koochaki,1
Ushirobira,Ahmed,2
Ushirobira,Hafiz,2
Ushirobira,Efimov,2
Ushirobira,Rosane,2
Ushirobira,Denis,2
Ahmed,Hafiz,3
Ahmed,Efimov,2
Ahmed,Rosane,2
Ahmed,Denis,2
Hafiz,Efimov,2
Hafiz,Rosane,2
Hafiz,Denis,2
Efimov,Rosane,2
Efimov,Denis,2
Rosane,Denis,2
Samet,Ahmed,1
Samet,Hafiz,1
Samet,Biricik,1
Samet,Benbouzid,1
Samet,Mohamed,1
Ahmed,Biricik,1
Ahmed,Benbouzid,1
Ahmed,Mohamed,1
Hafiz,Biricik,1
Hafiz,Benbouzid,1
Hafiz,Mohamed,1
Biricik,Benbouzid,1
Biricik,Mohamed,1
Benbouzid,Mohamed,1
Roustaei,M,1
Roustaei,Seyedi,1
Roustaei,S M,1
Roustaei,Hashemi,1
Roustaei,H,1
M,Seyedi,1
M,S M,1
M,Hashemi,1
M,H,1
Seyedi,S M,1
Seyedi,Hashemi,1
Seyedi,H,1
S M,Hashemi,1
S M,H,1
Hashemi,H,1
Hassan,Toshifumi,1
Hassan,Ise,1
Hassan,Nikos,1
Hassan,Messina,1
Hassan,Hêmin,1
Hassan,Arturo Román,1
Hassan,Milano,1
Hassan,Hatziargyriou,1
Hassan,Bevrani,1
Hassan,Golpîra,1
Hassan,Federico,1
Toshifumi,Ise,1
Toshifumi,Nikos,1
Toshifumi,Messina,1
Toshifumi,Hêmin,1
Toshifumi,Arturo Román,1
Toshifumi,Milano,1
Toshifumi,Hatziargyriou,1
Toshifumi,Bevrani,1
Toshifumi,Golpîra,1
Toshifumi,Federico,1
Ise,Nikos,1
Ise,Messina,1
Ise,Hêmin,1
Ise,Arturo Román,1
Ise,Milano,1
Ise,Hatziargyriou,1
Ise,Bevrani,1
Ise,Golpîra,1
Ise,Federico,1
Nikos,Messina,1
Nikos,Hêmin,1
Nikos,Arturo Román,1
Nikos,Milano,1
Nikos,Hatziargyriou,1
Nikos,Bevrani,1
Nikos,Golpîra,1
Nikos,Federico,1
Messina,Hêmin,1
Messina,Arturo Román,1
Messina,Milano,1
Messina,Hatziargyriou,1
Messina,Bevrani,1
Messina,Golpîra,1
Messina,Federico,1
Hêmin,Arturo Román,1
Hêmin,Milano,1
Hêmin,Hatziargyriou,1
Hêmin,Bevrani,1
Hêmin,Golpîra,1
Hêmin,Federico,1
Arturo Román,Milano,1
Arturo Román,Hatziargyriou,1
Arturo Román,Bevrani,1
Arturo Román,Golpîra,1
Arturo Román,Federico,1
Milano,Hatziargyriou,1
Milano,Bevrani,1
Milano,Golpîra,1
Milano,Federico,3
Hatziargyriou,Bevrani,1
Hatziargyriou,Golpîra,1
Hatziargyriou,Federico,1
Bevrani,Golpîra,1
Bevrani,Federico,1
Golpîra,Federico,1
El-Shafey,M.H.,1
El-Shafey,M.M.,1
El-Shafey,Mansour,1
M.H.,M.M.,1
M.H.,Mansour,1
M.M.,Mansour,1
Srinivasan,Dipti,1
Srinivasan,Dhivya Sampath,1
Srinivasan,Kumar,1
Srinivasan,Carlos D.,1
Srinivasan,Gandhi,1
Srinivasan,Rodríguez-Gallegos,1
Srinivasan,Oktoviano,1
Dipti,Dhivya Sampath,1
Dipti,Kumar,1
Dipti,Carlos D.,1
Dipti,Gandhi,1
Dipti,Rodríguez-Gallegos,1
Dipti,Oktoviano,1
Dhivya Sampath,Kumar,1
Dhivya Sampath,Carlos D.,1
Dhivya Sampath,Gandhi,1
Dhivya Sampath,Rodríguez-Gallegos,1
Dhivya Sampath,Oktoviano,1
Kumar,Carlos D.,1
Kumar,Gandhi,1
Kumar,Rodríguez-Gallegos,1
Kumar,Oktoviano,1
